state,state_code,job_title,avg_hourly,avg_annually
Alabama,AL,Data Scientists,47.61,"99,040"
Alaska,AK,Data Scientists,44.09,"91,710"
Arizona,AZ,Data Scientists,54.07,"112,470"
Arkansas,AR,Data Scientists,56.37,"117,250"
California,CA,Data Scientists,67.54,"140,490"
Colorado,CO,Data Scientists,57.85,"120,320"
Connecticut,CT,Data Scientists,57.93,"120,480"
Delaware,DE,Data Scientists,62.75,"130,520"
Florida,FL,Data Scientists,51.20,"106,490"
Georgia,GA,Data Scientists,51.93,"108,010"
Hawaii,HI,Data Scientists,60.61,"126,080"
Idaho,ID,Data Scientists,60.67,"126,190"
Illinois,IL,Data Scientists,55.69,"115,840"
Indiana,IN,Data Scientists,44.48,"92,520"
Iowa,IA,Data Scientists,47.38,"98,550"
Kansas,KS,Data Scientists,51.44,"107,000"
Kentucky,KY,Data Scientists,46.29,"96,290"
Louisiana,LA,Data Scientists,35.74,"74,330"
Maine,ME,Data Scientists,51.62,"107,370"
Maryland,MD,Data Scientists,60.59,"126,020"
Massachusetts,MA,Data Scientists,60.15,"125,100"
Michigan,MI,Data Scientists,46.39,"96,500"
Minnesota,MN,Data Scientists,57.10,"118,760"
Mississippi,MS,Data Scientists,34.72,"72,220"
Missouri,MO,Data Scientists,42.41,"88,210"
Montana,MT,Data Scientists,48.73,"101,350"
Nebraska,NE,Data Scientists,45.66,"94,960"
Nevada,NV,Data Scientists,46.54,"96,800"
New Hampshire,NH,Data Scientists,46.79,"97,330"
New Jersey,NJ,Data Scientists,64.49,"134,140"
New Mexico,NM,Data Scientists,42.65,"88,720"
New York,NY,Data Scientists,64.82,"134,830"
North Carolina,NC,Data Scientists,60.55,"125,950"
North Dakota,ND,Data Scientists,49.24,"102,410"
Ohio,OH,Data Scientists,46.89,"97,530"
Oklahoma,OK,Data Scientists,44.72,"93,020"
Oregon,OR,Data Scientists,59.85,"124,480"
Pennsylvania,PA,Data Scientists,49.22,"102,370"
Rhode Island,RI,Data Scientists,61.24,"127,380"
South Carolina,SC,Data Scientists,48.46,"100,790"
South Dakota,SD,Data Scientists,47.09,"97,940"
Tennessee,TN,Data Scientists,46.97,"97,710"
Texas,TX,Data Scientists,52.40,"109,000"
Utah,UT,Data Scientists,48.93,"101,780"
Vermont,VT,Data Scientists,59.82,"124,430"
Virginia,VA,Data Scientists,66.87,"139,080"
Washington,WA,Data Scientists,71.50,"148,730"
West Virginia,WV,Data Scientists,45.35,"94,330"
Wisconsin,WI,Data Scientists,50.60,"105,250"
Wyoming,WY,Data Scientists,60.25,"125,330"
Alabama,AL,Database Administrators,43.03,"89,510"
Alaska,AK,Database Administrators,43.45,"90,370"
Arizona,AZ,Database Administrators,50.23,"104,470"
Arkansas,AR,Database Administrators,43.83,"91,160"
California,CA,Database Administrators,55.95,"116,380"
Colorado,CO,Database Administrators,56.00,"116,470"
Connecticut,CT,Database Administrators,52.86,"109,950"
Delaware,DE,Database Administrators,50.65,"105,350"
Florida,FL,Database Administrators,50.28,"104,590"
Georgia,GA,Database Administrators,51.38,"106,880"
Hawaii,HI,Database Administrators,43.41,"90,300"
Idaho,ID,Database Administrators,40.15,"83,500"
Illinois,IL,Database Administrators,52.24,"108,650"
Indiana,IN,Database Administrators,36.60,"76,130"
Iowa,IA,Database Administrators,45.14,"93,890"
Kansas,KS,Database Administrators,56.57,"117,660"
Kentucky,KY,Database Administrators,40.18,"83,570"
Louisiana,LA,Database Administrators,44.12,"91,760"
Maine,ME,Database Administrators,46.66,"97,060"
Maryland,MD,Database Administrators,56.61,"117,750"
Massachusetts,MA,Database Administrators,56.67,"117,870"
Michigan,MI,Database Administrators,44.70,"92,980"
Minnesota,MN,Database Administrators,48.68,"101,260"
Mississippi,MS,Database Administrators,39.55,"82,270"
Missouri,MO,Database Administrators,43.59,"90,660"
Montana,MT,Database Administrators,40.26,"83,750"
Nebraska,NE,Database Administrators,42.28,"87,940"
Nevada,NV,Database Administrators,41.38,"86,080"
New Hampshire,NH,Database Administrators,49.81,"103,610"
New Jersey,NJ,Database Administrators,58.88,"122,460"
New Mexico,NM,Database Administrators,46.61,"96,950"
New York,NY,Database Administrators,50.11,"104,230"
North Carolina,NC,Database Administrators,50.23,"104,480"
North Dakota,ND,Database Administrators,39.74,"82,660"
Ohio,OH,Database Administrators,45.61,"94,860"
Oklahoma,OK,Database Administrators,41.13,"85,550"
Oregon,OR,Database Administrators,49.55,"103,070"
Pennsylvania,PA,Database Administrators,48.15,"100,160"
Rhode Island,RI,Database Administrators,51.76,"107,670"
South Carolina,SC,Database Administrators,48.76,"101,420"
South Dakota,SD,Database Administrators,40.05,"83,290"
Tennessee,TN,Database Administrators,50.24,"104,490"
Texas,TX,Database Administrators,48.31,"100,490"
Utah,UT,Database Administrators,46.97,"97,700"
Vermont,VT,Database Administrators,47.80,"99,430"
Virginia,VA,Database Administrators,52.78,"109,790"
Washington,WA,Database Administrators,56.11,"116,710"
West Virginia,WV,Database Administrators,35.85,"74,570"
Wisconsin,WI,Database Administrators,46.08,"95,840"
Wyoming,WY,Database Administrators,39.72,"82,620"
Alabama,AL,Database Architects,55.00,"114,400"
Alaska,AK,Database Architects,60.41,"125,650"
Arizona,AZ,Database Architects,58.21,"121,080"
Arkansas,AR,Database Architects,46.24,"96,180"
California,CA,Database Architects,78.20,"162,660"
Colorado,CO,Database Architects,68.22,"141,890"
Connecticut,CT,Database Architects,67.60,"140,610"
Delaware,DE,Database Architects,73.83,"153,570"
Florida,FL,Database Architects,59.04,"122,790"
Georgia,GA,Database Architects,70.79,"147,250"
Hawaii,HI,Database Architects,66.20,"137,690"
Idaho,ID,Database Architects,64.00,"133,130"
Illinois,IL,Database Architects,59.73,"124,240"
Indiana,IN,Database Architects,44.80,"93,180"
Iowa,IA,Database Architects,62.82,"130,660"
Kansas,KS,Database Architects,77.80,"161,820"
Kentucky,KY,Database Architects,47.72,"99,270"
Louisiana,LA,Database Architects,49.94,"103,870"
Maine,ME,Database Architects,57.21,"118,990"
Maryland,MD,Database Architects,72.40,"150,590"
Massachusetts,MA,Database Architects,73.48,"152,850"
Michigan,MI,Database Architects,55.00,"114,390"
Minnesota,MN,Database Architects,61.72,"128,380"
Mississippi,MS,Database Architects,38.34,"79,750"
Missouri,MO,Database Architects,51.23,"106,560"
Montana,MT,Database Architects,56.36,"117,220"
Nebraska,NE,Database Architects,62.61,"130,230"
Nevada,NV,Database Architects,62.74,"130,500"
New Hampshire,NH,Database Architects,59.21,"123,150"
New Jersey,NJ,Database Architects,76.41,"158,930"
New Mexico,NM,Database Architects,57.01,"118,590"
New York,NY,Database Architects,69.30,"144,140"
North Carolina,NC,Database Architects,58.87,"122,460"
North Dakota,ND,Database Architects,51.08,"106,250"
Ohio,OH,Database Architects,58.47,"121,620"
Oklahoma,OK,Database Architects,57.66,"119,940"
Oregon,OR,Database Architects,63.68,"132,460"
Pennsylvania,PA,Database Architects,58.63,"121,960"
Rhode Island,RI,Database Architects,56.98,"118,510"
South Carolina,SC,Database Architects,60.74,"126,340"
South Dakota,SD,Database Architects,55.87,"116,210"
Tennessee,TN,Database Architects,57.47,"119,530"
Texas,TX,Database Architects,67.10,"139,570"
Utah,UT,Database Architects,69.90,"145,400"
Vermont,VT,Database Architects,73.34,"152,540"
Virginia,VA,Database Architects,68.89,"143,300"
Washington,WA,Database Architects,74.25,"154,430"
West Virginia,WV,Database Architects,49.78,"103,550"
Wisconsin,WI,Database Architects,62.59,"130,180"
Wyoming,WY,Database Architects,29.39,"61,130"
Alabama,AL,Information Security Analysts,52.61,"109,420"
Alaska,AK,Information Security Analysts,50.80,"105,670"
Arizona,AZ,Information Security Analysts,54.08,"112,480"
Arkansas,AR,Information Security Analysts,44.79,"93,150"
California,CA,Information Security Analysts,67.66,"140,730"
Colorado,CO,Information Security Analysts,61.70,"128,340"
Connecticut,CT,Information Security Analysts,63.67,"132,430"
Delaware,DE,Information Security Analysts,64.00,"133,130"
Florida,FL,Information Security Analysts,54.34,"113,020"
Georgia,GA,Information Security Analysts,58.30,"121,260"
Hawaii,HI,Information Security Analysts,54.72,"113,820"
Idaho,ID,Information Security Analysts,53.34,"110,950"
Illinois,IL,Information Security Analysts,58.23,"121,110"
Indiana,IN,Information Security Analysts,49.37,"102,690"
Iowa,IA,Information Security Analysts,69.21,"143,960"
Kansas,KS,Information Security Analysts,48.77,"101,440"
Kentucky,KY,Information Security Analysts,46.55,"96,810"
Louisiana,LA,Information Security Analysts,57.81,"120,240"
Maine,ME,Information Security Analysts,46.18,"96,060"
Maryland,MD,Information Security Analysts,66.44,"138,180"
Massachusetts,MA,Information Security Analysts,62.26,"129,500"
Michigan,MI,Information Security Analysts,52.40,"108,980"
Minnesota,MN,Information Security Analysts,59.26,"123,260"
Mississippi,MS,Information Security Analysts,45.95,"95,580"
Missouri,MO,Information Security Analysts,49.19,"102,320"
Montana,MT,Information Security Analysts,45.73,"95,110"
Nebraska,NE,Information Security Analysts,50.53,"105,090"
Nevada,NV,Information Security Analysts,51.13,"106,350"
New Hampshire,NH,Information Security Analysts,66.85,"139,050"
New Jersey,NJ,Information Security Analysts,65.36,"135,940"
New Mexico,NM,Information Security Analysts,61.47,"127,860"
New York,NY,Information Security Analysts,67.68,"140,770"
North Carolina,NC,Information Security Analysts,61.89,"128,720"
North Dakota,ND,Information Security Analysts,47.07,"97,910"
Ohio,OH,Information Security Analysts,54.62,"113,610"
Oklahoma,OK,Information Security Analysts,48.91,"101,740"
Oregon,OR,Information Security Analysts,54.06,"112,440"
Pennsylvania,PA,Information Security Analysts,54.26,"112,850"
Rhode Island,RI,Information Security Analysts,56.06,"116,600"
South Carolina,SC,Information Security Analysts,57.22,"119,030"
South Dakota,SD,Information Security Analysts,49.15,"102,240"
Tennessee,TN,Information Security Analysts,52.95,"110,140"
Texas,TX,Information Security Analysts,57.44,"119,480"
Utah,UT,Information Security Analysts,52.18,"108,540"
Vermont,VT,Information Security Analysts,43.56,"90,600"
Virginia,VA,Information Security Analysts,64.69,"134,550"
Washington,WA,Information Security Analysts,71.20,"148,090"
West Virginia,WV,Information Security Analysts,46.33,"96,360"
Wisconsin,WI,Information Security Analysts,51.53,"107,180"
Wyoming,WY,Information Security Analysts,*,*
Alabama,AL,Network and Computer Systems Administrators,41.66,"86,650"
Alaska,AK,Network and Computer Systems Administrators,43.67,"90,830"
Arizona,AZ,Network and Computer Systems Administrators,47.75,"99,320"
Arkansas,AR,Network and Computer Systems Administrators,37.47,"77,940"
