state,state_code,job_title,avg_hourly,avg_annually
Alabama,AL,Data Scientists,47.61,99040
Alaska,AK,Data Scientists,44.09,91710
Arizona,AZ,Data Scientists,54.07,112470
Arkansas,AR,Data Scientists,56.37,117250
California,CA,Data Scientists,67.54,140490
Colorado,CO,Data Scientists,57.85,120320
Connecticut,CT,Data Scientists,57.93,120480
Delaware,DE,Data Scientists,62.75,130520
Florida,FL,Data Scientists,51.2,106490
Georgia,GA,Data Scientists,51.93,108010
Hawaii,HI,Data Scientists,60.61,126080
Idaho,ID,Data Scientists,60.67,126190
Illinois,IL,Data Scientists,55.69,115840
Indiana,IN,Data Scientists,44.48,92520
Iowa,IA,Data Scientists,47.38,98550
Kansas,KS,Data Scientists,51.44,107000
Kentucky,KY,Data Scientists,46.29,96290
Louisiana,LA,Data Scientists,35.74,74330
Maine,ME,Data Scientists,51.62,107370
Maryland,MD,Data Scientists,60.59,126020
Massachusetts,MA,Data Scientists,60.15,125100
Michigan,MI,Data Scientists,46.39,96500
Minnesota,MN,Data Scientists,57.1,118760
Mississippi,MS,Data Scientists,34.72,72220
Missouri,MO,Data Scientists,42.41,88210
Montana,MT,Data Scientists,48.73,101350
Nebraska,NE,Data Scientists,45.66,94960
Nevada,NV,Data Scientists,46.54,96800
New Hampshire,NH,Data Scientists,46.79,97330
New Jersey,NJ,Data Scientists,64.49,134140
New Mexico,NM,Data Scientists,42.65,88720
New York,NY,Data Scientists,64.82,134830
North Carolina,NC,Data Scientists,60.55,125950
North Dakota,ND,Data Scientists,49.24,102410
Ohio,OH,Data Scientists,46.89,97530
Oklahoma,OK,Data Scientists,44.72,93020
Oregon,OR,Data Scientists,59.85,124480
Pennsylvania,PA,Data Scientists,49.22,102370
Rhode Island,RI,Data Scientists,61.24,127380
South Carolina,SC,Data Scientists,48.46,100790
South Dakota,SD,Data Scientists,47.09,97940
Tennessee,TN,Data Scientists,46.97,97710
Texas,TX,Data Scientists,52.4,109000
Utah,UT,Data Scientists,48.93,101780
Vermont,VT,Data Scientists,59.82,124430
Virginia,VA,Data Scientists,66.87,139080
Washington,WA,Data Scientists,71.5,148730
West Virginia,WV,Data Scientists,45.35,94330
Wisconsin,WI,Data Scientists,50.6,105250
Wyoming,WY,Data Scientists,60.25,125330
Alabama,AL,Database Administrators,43.03,89510
Alaska,AK,Database Administrators,43.45,90370
Arizona,AZ,Database Administrators,50.23,104470
Arkansas,AR,Database Administrators,43.83,91160
California,CA,Database Administrators,55.95,116380
Colorado,CO,Database Administrators,56,116470
Connecticut,CT,Database Administrators,52.86,109950
Delaware,DE,Database Administrators,50.65,105350
Florida,FL,Database Administrators,50.28,104590
Georgia,GA,Database Administrators,51.38,106880
Hawaii,HI,Database Administrators,43.41,90300
Idaho,ID,Database Administrators,40.15,83500
Illinois,IL,Database Administrators,52.24,108650
Indiana,IN,Database Administrators,36.6,76130
Iowa,IA,Database Administrators,45.14,93890
Kansas,KS,Database Administrators,56.57,117660
Kentucky,KY,Database Administrators,40.18,83570
Louisiana,LA,Database Administrators,44.12,91760
Maine,ME,Database Administrators,46.66,97060
Maryland,MD,Database Administrators,56.61,117750
Massachusetts,MA,Database Administrators,56.67,117870
Michigan,MI,Database Administrators,44.7,92980
Minnesota,MN,Database Administrators,48.68,101260
Mississippi,MS,Database Administrators,39.55,82270
Missouri,MO,Database Administrators,43.59,90660
Montana,MT,Database Administrators,40.26,83750
Nebraska,NE,Database Administrators,42.28,87940
Nevada,NV,Database Administrators,41.38,86080
New Hampshire,NH,Database Administrators,49.81,103610
New Jersey,NJ,Database Administrators,58.88,122460
New Mexico,NM,Database Administrators,46.61,96950
New York,NY,Database Administrators,50.11,104230
North Carolina,NC,Database Administrators,50.23,104480
North Dakota,ND,Database Administrators,39.74,82660
Ohio,OH,Database Administrators,45.61,94860
Oklahoma,OK,Database Administrators,41.13,85550
Oregon,OR,Database Administrators,49.55,103070
Pennsylvania,PA,Database Administrators,48.15,100160
Rhode Island,RI,Database Administrators,51.76,107670
South Carolina,SC,Database Administrators,48.76,101420
South Dakota,SD,Database Administrators,40.05,83290
Tennessee,TN,Database Administrators,50.24,104490
Texas,TX,Database Administrators,48.31,100490
Utah,UT,Database Administrators,46.97,97700
Vermont,VT,Database Administrators,47.8,99430
Virginia,VA,Database Administrators,52.78,109790
Washington,WA,Database Administrators,56.11,116710
West Virginia,WV,Database Administrators,35.85,74570
Wisconsin,WI,Database Administrators,46.08,95840
Wyoming,WY,Database Administrators,39.72,82620
Alabama,AL,Database Architects,55,114400
Alaska,AK,Database Architects,60.41,125650
Arizona,AZ,Database Architects,58.21,121080
Arkansas,AR,Database Architects,46.24,96180
California,CA,Database Architects,78.2,162660
Colorado,CO,Database Architects,68.22,141890
Connecticut,CT,Database Architects,67.6,140610
Delaware,DE,Database Architects,73.83,153570
Florida,FL,Database Architects,59.04,122790
Georgia,GA,Database Architects,70.79,147250
Hawaii,HI,Database Architects,66.2,137690
Idaho,ID,Database Architects,64,133130
Illinois,IL,Database Architects,59.73,124240
Indiana,IN,Database Architects,44.8,93180
Iowa,IA,Database Architects,62.82,130660
Kansas,KS,Database Architects,77.8,161820
Kentucky,KY,Database Architects,47.72,99270
Louisiana,LA,Database Architects,49.94,103870
Maine,ME,Database Architects,57.21,118990
Maryland,MD,Database Architects,72.4,150590
Massachusetts,MA,Database Architects,73.48,152850
Michigan,MI,Database Architects,55,114390
Minnesota,MN,Database Architects,61.72,128380
Mississippi,MS,Database Architects,38.34,79750
Missouri,MO,Database Architects,51.23,106560
Montana,MT,Database Architects,56.36,117220
Nebraska,NE,Database Architects,62.61,130230
Nevada,NV,Database Architects,62.74,130500
New Hampshire,NH,Database Architects,59.21,123150
New Jersey,NJ,Database Architects,76.41,158930
New Mexico,NM,Database Architects,57.01,118590
New York,NY,Database Architects,69.3,144140
North Carolina,NC,Database Architects,58.87,122460
North Dakota,ND,Database Architects,51.08,106250
Ohio,OH,Database Architects,58.47,121620
Oklahoma,OK,Database Architects,57.66,119940
Oregon,OR,Database Architects,63.68,132460
Pennsylvania,PA,Database Architects,58.63,121960
Rhode Island,RI,Database Architects,56.98,118510
South Carolina,SC,Database Architects,60.74,126340
South Dakota,SD,Database Architects,55.87,116210
Tennessee,TN,Database Architects,57.47,119530
Texas,TX,Database Architects,67.1,139570
Utah,UT,Database Architects,69.9,145400
Vermont,VT,Database Architects,73.34,152540
Virginia,VA,Database Architects,68.89,143300
Washington,WA,Database Architects,74.25,154430
West Virginia,WV,Database Architects,49.78,103550
Wisconsin,WI,Database Architects,62.59,130180
Wyoming,WY,Database Architects,29.39,61130
Alabama,AL,Information Security Analysts,52.61,109420
Alaska,AK,Information Security Analysts,50.8,105670
Arizona,AZ,Information Security Analysts,54.08,112480
Arkansas,AR,Information Security Analysts,44.79,93150
California,CA,Information Security Analysts,67.66,140730
Colorado,CO,Information Security Analysts,61.7,128340
Connecticut,CT,Information Security Analysts,63.67,132430
Delaware,DE,Information Security Analysts,64,133130
Florida,FL,Information Security Analysts,54.34,113020
Georgia,GA,Information Security Analysts,58.3,121260
Hawaii,HI,Information Security Analysts,54.72,113820
Idaho,ID,Information Security Analysts,53.34,110950
Illinois,IL,Information Security Analysts,58.23,121110
Indiana,IN,Information Security Analysts,49.37,102690
Iowa,IA,Information Security Analysts,69.21,143960
Kansas,KS,Information Security Analysts,48.77,101440
Kentucky,KY,Information Security Analysts,46.55,96810
Louisiana,LA,Information Security Analysts,57.81,120240
Maine,ME,Information Security Analysts,46.18,96060
Maryland,MD,Information Security Analysts,66.44,138180
Massachusetts,MA,Information Security Analysts,62.26,129500
Michigan,MI,Information Security Analysts,52.4,108980
Minnesota,MN,Information Security Analysts,59.26,123260
Mississippi,MS,Information Security Analysts,45.95,95580
Missouri,MO,Information Security Analysts,49.19,102320
Montana,MT,Information Security Analysts,45.73,95110
Nebraska,NE,Information Security Analysts,50.53,105090
Nevada,NV,Information Security Analysts,51.13,106350
New Hampshire,NH,Information Security Analysts,66.85,139050
New Jersey,NJ,Information Security Analysts,65.36,135940
New Mexico,NM,Information Security Analysts,61.47,127860
New York,NY,Information Security Analysts,67.68,140770
North Carolina,NC,Information Security Analysts,61.89,128720
North Dakota,ND,Information Security Analysts,47.07,97910
Ohio,OH,Information Security Analysts,54.62,113610
Oklahoma,OK,Information Security Analysts,48.91,101740
Oregon,OR,Information Security Analysts,54.06,112440
Pennsylvania,PA,Information Security Analysts,54.26,112850
Rhode Island,RI,Information Security Analysts,56.06,116600
South Carolina,SC,Information Security Analysts,57.22,119030
South Dakota,SD,Information Security Analysts,49.15,102240
Tennessee,TN,Information Security Analysts,52.95,110140
Texas,TX,Information Security Analysts,57.44,119480
Utah,UT,Information Security Analysts,52.18,108540
Vermont,VT,Information Security Analysts,43.56,90600
Virginia,VA,Information Security Analysts,64.69,134550
Washington,WA,Information Security Analysts,71.2,148090
West Virginia,WV,Information Security Analysts,46.33,96360
Wisconsin,WI,Information Security Analysts,51.53,107180
Alabama,AL,Network and Computer Systems Administrators,41.66,86650
Alaska,AK,Network and Computer Systems Administrators,43.67,90830
Arizona,AZ,Network and Computer Systems Administrators,47.75,99320
Arkansas,AR,Network and Computer Systems Administrators,37.47,77940
California,CA,Network and Computer Systems Administrators,55.18,114770
Colorado,CO,Network and Computer Systems Administrators,50.3,104620
Connecticut,CT,Network and Computer Systems Administrators,50.87,105810
Delaware,DE,Network and Computer Systems Administrators,44.09,91710
Florida,FL,Network and Computer Systems Administrators,45.89,95460
Georgia,GA,Network and Computer Systems Administrators,47.3,98380
Hawaii,HI,Network and Computer Systems Administrators,46.3,96300
Idaho,ID,Network and Computer Systems Administrators,46.27,96230
Illinois,IL,Network and Computer Systems Administrators,46.72,97170
Indiana,IN,Network and Computer Systems Administrators,41.33,85960
Iowa,IA,Network and Computer Systems Administrators,43.16,89770
Kansas,KS,Network and Computer Systems Administrators,41.97,87300
Kentucky,KY,Network and Computer Systems Administrators,40.31,83840
Louisiana,LA,Network and Computer Systems Administrators,40.85,84970
Maine,ME,Network and Computer Systems Administrators,39.66,82500
Maryland,MD,Network and Computer Systems Administrators,55.91,116300
Massachusetts,MA,Network and Computer Systems Administrators,51.07,106220
Michigan,MI,Network and Computer Systems Administrators,45.6,94840
Minnesota,MN,Network and Computer Systems Administrators,48.45,100770
Mississippi,MS,Network and Computer Systems Administrators,38.96,81040
Missouri,MO,Network and Computer Systems Administrators,42.83,89080
Montana,MT,Network and Computer Systems Administrators,38.75,80600
